"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Makai Tenshou,5.19,6.48,-1.29,11677,15084,420,Feb 1998 - Mar 1998,Nov 1998 - Nov 1998
Terra e...,6.42,7.71,-1.29,6822,1613,4101,Apr 1980 - Apr 1980,Dec 1976 - Apr 1980
Yokohama Kaidashi Kikou,7.39,8.68,-1.2900004,2132,53,69851,May 1998 - Dec 1998,Apr 1994 - Feb 2006
Big X,6.32,7.62,-1.2999997,7297,2050,413,Aug 1964 - Sep 1965,Nov 1963 - Feb 1966
Oedo wa Nemurenai!,5.32,6.63,-1.31,11372,13436,397,Jul 1993 - Jul 1993,Jan 1991 - Jun 1992
Isekai wa Smartphone to Tomo ni.,6.15,7.47,-1.3199997,8137,3067,8700,Jul 2017 - Sep 2017,May 2015 - Dec 2023
Masou Gakuen HxH,6.13,7.45,-1.3199997,8232,3228,4201,Jul 2016 - Sep 2016,Feb 2014 - Sep 2019
Prison Lab,5.07,6.4,-1.3299999,11925,15791,21778,Dec 2018 - Dec 2018,Feb 2016 - Sep 2019
Hidan no Aria AA,6.21,7.54,-1.3299999,7840,2511,1984,Oct 2015 - Dec 2015,Nov 2010 - May 2018
Isekai Cheat Magician,5.46,6.79,-1.3299999,10961,11395,2003,Jul 2019 - Sep 2019,Jun 2013 - Dec 2023
Tsuki no Sango,6.15,7.49,-1.3399997,8158,2863,2093,Dec 2010 - Dec 2010,Oct 2011 - Oct 2011
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,5.99,7.33,-1.3400002,8935,4255,12239,Jul 2003 - Sep 2003,Mar 1998 - Oct 2003
"Umi no Yami, Tsuki no Kage",5.77,7.11,-1.3400002,9846,6946,716,Oct 1989 - Oct 1989,May 1987 - Oct 1991
Majutsushi Orphen Hagure Tabi,5.83,7.17,-1.3400002,9602,6141,921,Jan 2020 - Mar 2020,May 1994 - Sep 2003
Shingetsutan Tsukihime,6.82,8.17,-1.3499999,4778,446,39231,Oct 2003 - Dec 2003,Aug 2003 - Jul 2010
Gunnm,7.06,8.41,-1.3499999,3759,194,78284,Jun 1993 - Aug 1993,Nov 1990 - Mar 1995
Spy Kyoushitsu,6.36,7.71,-1.3499999,7145,1592,4128,Jan 2023 - Mar 2023,Jan 2020 - Dec 2023
"1+2=Paradise",4.76,6.11,-1.3499999,12334,17073,645,Feb 1990 - Apr 1990,Oct 1988 - Nov 1990
Adachi to Shimamura,7.1,8.45,-1.3499999,3546,166,9131,Oct 2020 - Dec 2020,Oct 2012 - Dec 2023
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,4.87,6.23,-1.3600001,12194,16675,1595,Oct 2018 - Dec 2018,Dec 2017 - Sep 2019
