"mid","title","rank","type","volumes","published","members","page_url","image_url","score","fixed_published"
1650,One Piece: Episode A,496,Manga,"2",Sep 2020 - Dec 2021,8276,https://myanimelist.net/manga/128594/One_Piece__Episode_A,https://cdn.myanimelist.net/r/100x140/images/manga/2/266074.jpg?s=5c9a8a581000950c636b35b71a99571f,8.14,Sep 2020 - Dec 2021
1651,Onna no Hadaka wo Nama de Mitai,14072,Doujinshi,"1",Aug 2019 - Aug 2019,829,https://myanimelist.net/manga/123231/Onna_no_Hadaka_wo_Nama_de_Mitai,https://cdn.myanimelist.net/r/100x140/images/manga/2/235191.jpg?s=31c541e2d4c0d3ce7b759273b36cc24f,6.58,Aug 2019 - Aug 2019
1652,One Outs,102,Manga,"20",Nov 1998 - Aug 2006,32087,https://myanimelist.net/manga/11327/One_Outs,https://cdn.myanimelist.net/r/100x140/images/manga/3/169329.jpg?s=70ee8052f72a08a0acd1f5c103583bf1,8.56,Nov 1998 - Aug 2006
1653,Buster Keel!,10912,Manga,"12",Oct 2008 - Jul 2012,5373,https://myanimelist.net/manga/11027/Buster_Keel,https://cdn.myanimelist.net/r/100x140/images/manga/1/166312.jpg?s=13786fd0cb3ba3286e9e5892a7aefd98,6.83,Oct 2008 - Jul 2012
1654,Mitsuboshi Colors,2031,Manga,"8",Jul 2014 - Jun 2020,5148,https://myanimelist.net/manga/81467/Mitsuboshi_Colors,https://cdn.myanimelist.net/r/100x140/images/manga/2/155669.jpg?s=41f1a552d377bf312dd53f4b2e731cec,7.63,Jul 2014 - Jun 2020
1656,Tsukumo Happy Soul,16661,Manga,"1",May 2004 - Aug 2004,1354,https://myanimelist.net/manga/3049/Tsukumo_Happy_Soul,https://cdn.myanimelist.net/r/100x140/images/manga/1/67877.jpg?s=bdb7eabb615a446cca401ae6516e21f4,6.23,May 2004 - Aug 2004
1657,Hokuto no Ken: Jubaku no Machi,5074,Light-Novel,"1",Dec 1996 - Dec 1996,695,https://myanimelist.net/manga/23288/Hokuto_no_Ken__Jubaku_no_Machi,https://cdn.myanimelist.net/r/100x140/images/manga/1/78795.jpg?s=b4bbaf3350e8df6e11299f757be15e94,7.26,Dec 1996 - Dec 1996
1658,QP Gaiden,8392,Manga,"1",Aug 2004 - Aug 2004,787,https://myanimelist.net/manga/24878/QP_Gaiden,https://cdn.myanimelist.net/r/100x140/images/manga/2/223376.jpg?s=5480ca5529cfbcfead47469334997385,7.01,Aug 2004 - Aug 2004
1659,Nishikaze to Taiyou,12467,One-shot,?,Apr 2010 - Apr 2010,1698,https://myanimelist.net/manga/21304/Nishikaze_to_Taiyou,https://cdn.myanimelist.net/r/100x140/images/manga/4/111743.jpg?s=af36af96e24e656eae78edad411dd3f1,6.71,Apr 2010 - Apr 2010
1660,Spica,13268,Manga,"1",Jun 2000 - Apr 2004,1112,https://myanimelist.net/manga/29111/Spica,https://cdn.myanimelist.net/r/100x140/images/manga/2/46675.jpg?s=5e0391cd399ca50c8834ce53f248742e,6.65,Jun 2000 - Apr 2004
